low_index,high_index,direction
33,41,DESCENDING
34,42,DESCENDING
35,43,DESCENDING
36,44,DESCENDING
37,45,DESCENDING
38,46,DESCENDING
39,47,DESCENDING
32,36,DESCENDING
33,37,DESCENDING
34,38,DESCENDING
35,39,DESCENDING
32,34,DESCENDING
33,35,DESCENDING
32,33,DESCENDING
34,35,DESCENDING
36,38,DESCENDING
37,39,DESCENDING
36,37,DESCENDING
38,39,DESCENDING
40,44,DESCENDING
41,45,DESCENDING
42,46,DESCENDING
43,47,DESCENDING
40,42,DESCENDING
41,43,DESCENDING
40,41,DESCENDING
42,43,DESCENDING
44,46,DESCENDING
45,47,DESCENDING
44,45,DESCENDING
46,47,DESCENDING
48,49,DESCENDING
50,51,ASCENDING
48,50,ASCENDING
49,51,ASCENDING
48,49,ASCENDING
50,51,ASCENDING
52,53,ASCENDING
54,55,DESCENDING
52,54,DESCENDING
53,55,DESCENDING
52,53,DESCENDING
54,55,DESCENDING
48,52,DESCENDING
49,53,DESCENDING
50,54,DESCENDING
51,55,DESCENDING
48,50,DESCENDING
49,51,DESCENDING
48,49,DESCENDING
50,51,DESCENDING
52,54,DESCENDING
53,55,DESCENDING
52,53,DESCENDING
54,55,DESCENDING
56,57,ASCENDING
58,59,DESCENDING
56,58,DESCENDING
57,59,DESCENDING
56,57,DESCENDING
58,59,DESCENDING
60,61,DESCENDING
62,63,ASCENDING
60,62,ASCENDING
61,63,ASCENDING
60,61,ASCENDING
62,63,ASCENDING
56,60,ASCENDING
57,61,ASCENDING
58,62,ASCENDING
59,63,ASCENDING
56,58,ASCENDING
57,59,ASCENDING
56,57,ASCENDING
58,59,ASCENDING
60,62,ASCENDING
61,63,ASCENDING
60,61,ASCENDING
62,63,ASCENDING
48,56,ASCENDING
49,57,ASCENDING
50,58,ASCENDING
51,59,ASCENDING
52,60,ASCENDING
53,61,ASCENDING
54,62,ASCENDING
55,63,ASCENDING
48,52,ASCENDING
49,53,ASCENDING
50,54,ASCENDING
51,55,ASCENDING
48,50,ASCENDING
49,51,ASCENDING
48,49,ASCENDING
50,51,ASCENDING
52,54,ASCENDING
53,55,ASCENDING
52,53,ASCENDING
54,55,ASCENDING
56,60,ASCENDING
57,61,ASCENDING
58,62,ASCENDING
59,63,ASCENDING
56,58,ASCENDING
57,59,ASCENDING
56,57,ASCENDING
58,59,ASCENDING
60,62,ASCENDING
61,63,ASCENDING
60,61,ASCENDING
62,63,ASCENDING
32,48,ASCENDING
33,49,ASCENDING
34,50,ASCENDING
35,51,ASCENDING
36,52,ASCENDING
37,53,ASCENDING
38,54,ASCENDING
39,55,ASCENDING
40,56,ASCENDING
41,57,ASCENDING
42,58,ASCENDING
43,59,ASCENDING
44,60,ASCENDING
45,61,ASCENDING
46,62,ASCENDING
47,63,ASCENDING
32,40,ASCENDING
33,41,ASCENDING
34,42,ASCENDING
35,43,ASCENDING
36,44,ASCENDING
37,45,ASCENDING
38,46,ASCENDING
39,47,ASCENDING
32,36,ASCENDING
33,37,ASCENDING
34,38,ASCENDING
35,39,ASCENDING
32,34,ASCENDING
33,35,ASCENDING
32,33,ASCENDING
34,35,ASCENDING
36,38,ASCENDING
37,39,ASCENDING
36,37,ASCENDING
38,39,ASCENDING
40,44,ASCENDING
41,45,ASCENDING
42,46,ASCENDING
43,47,ASCENDING
40,42,ASCENDING
41,43,ASCENDING
40,41,ASCENDING
42,43,ASCENDING
44,46,ASCENDING
45,47,ASCENDING
44,45,ASCENDING
46,47,ASCENDING
48,56,ASCENDING
49,57,ASCENDING
50,58,ASCENDING
51,59,ASCENDING
52,60,ASCENDING
53,61,ASCENDING
54,62,ASCENDING
55,63,ASCENDING
48,52,ASCENDING
49,53,ASCENDING
50,54,ASCENDING
51,55,ASCENDING
48,50,ASCENDING
49,51,ASCENDING
48,49,ASCENDING
50,51,ASCENDING
52,54,ASCENDING
53,55,ASCENDING
52,53,ASCENDING
54,55,ASCENDING
56,60,ASCENDING
57,61,ASCENDING
58,62,ASCENDING
59,63,ASCENDING
56,58,ASCENDING
57,59,ASCENDING
56,57,ASCENDING
58,59,ASCENDING
60,62,ASCENDING
61,63,ASCENDING
60,61,ASCENDING
62,63,ASCENDING
0,32,ASCENDING
1,33,ASCENDING
2,34,ASCENDING
3,35,ASCENDING
4,36,ASCENDING
5,37,ASCENDING
6,38,ASCENDING
7,39,ASCENDING
8,40,ASCENDING
9,41,ASCENDING
10,42,ASCENDING
11,43,ASCENDING
12,44,ASCENDING
13,45,ASCENDING
14,46,ASCENDING
15,47,ASCENDING
16,48,ASCENDING
17,49,ASCENDING
18,50,ASCENDING
19,51,ASCENDING
20,52,ASCENDING
21,53,ASCENDING
22,54,ASCENDING
23,55,ASCENDING
24,56,ASCENDING
25,57,ASCENDING
26,58,ASCENDING
27,59,ASCENDING
28,60,ASCENDING
29,61,ASCENDING
30,62,ASCENDING
31,63,ASCENDING
0,16,ASCENDING
1,17,ASCENDING
2,18,ASCENDING
3,19,ASCENDING
4,20,ASCENDING
5,21,ASCENDING
6,22,ASCENDING
